ID,Name,Department,Designation,Leaves,Salary,Month,,
1001,Adele,AMC,Employee,1,60000,Jul,,
1002, Morton,ACIT,Manager,0,150000,Jul,,
1003,Keagan,AEC,Employee,0,60000,Jul,,
1004, Simmons,BODCT,Employee,5,60000,Jul,,
1005,Khadeejah,BAEC,Clerk,0,25000,Jul,,
1006, Francis,BACA,Employee,0,60000,Jul,,
1007,Klara,BISCT,Employee,4,60000,Jul,,
1008,Barrow,ECMDTD,Employee,0,60000,Jul
1009,Derren,ISDIC,Clerk,0,25000,Jul,,
1010, Clark,MAPCAD,Clerk,0,25000,Jul,,
1011,Stacy,MMC,Clerk,2,25000,Jul,,
1012, Pena,NCC,Employee,1,60000,Jul,,
1013,Rafferty,OASCD,Employee,1,60000,Jul,,
1014, Muir,OASCD,Manager,0,150000,Jul,,
1015,Edwin,OTCAD,Employee,3,60000,Jul,,
1016,Odonnell,AMC,Clerk,0,25000,Jul,,
1017,Piers,ACIT,Employee,1,60000,Jul,,
1018, Rowe,AEC,Manager,2,150000,Jul,,
1019,Mairead,BODCT,Employee,1,60000,Jul,,
1020, Bevan,BAEC,Employee,0,60000,Jul,,
1021,Adele,BACA,Employee,9,60000,Jul,,
1022, Morton,BISCT,Clerk,0,25000,Jul,,
1023,Keagan,ECMDTD,Clerk,0,25000,Jul,,
1024, Simmons,ISDIC,Clerk,0,25000,Jul,,
1025,Khadeejah,MAPCAD,Employee,0,60000,Jul,,
1026, Francis,MMC,Employee,2,60000,Jul,,
1027,Klara,NCC,Clerk,0,25000,Jul,,
1028, Barrow,OASCD,Employee,0,60000,Jul,,
1029,Derren,OASCD,Employee,0,60000,Jul,,
1030, Clark,OTCAD,Employee,2,60000,Jul,,
1031,Stacy,AMC,Clerk,2,25000,Jul,,
1032, Pena,ACIT,Clerk,2,25000,Jul,,
1033,Rafferty,AEC,Employee,0,60000,Jul,,
1034, Muir,BODCT,Employee,0,60000,Jul,,
1035,Edwin,BAEC,Employee,6,60000,Jul,,
1036,Odonnell,BACA,Manager,0,150000,Jul,,
1037,Piers,BISCT,Employee,0,60000,Jul,,
1038, Rowe,ECMDTD,Employee,0,60000,Jul,,
1039,Mairead,ISDIC,Employee,0,60000,Jul,,
1040, Bevan,MAPCAD,Employee,1,60000,Jul,,
1041,Adele,MMC,Employee,0,60000,Jul,,
1042, Morton,NCC,Manager,0,150000,Jul,,
1043,Keagan,OASCD,Employee,1,60000,Jul,,
1044, Simmons,OASCD,Employee,0,60000,Jul,,
1045,Khadeejah,OTCAD,Employee,4,60000,Jul,,
1046, Francis,AMC,Employee,0,60000,Jul,,
1047,Klara,ACIT,Employee,0,60000,Jul,,
1048, Barrow,AEC,Clerk,1,25000,Jul,,
1049,Derren,BODCT,Clerk,6,25000,Jul,,
1050, Clark,BAEC,Employee,0,60000,Jul,,
